,image,object,probability,coordinates,check
17893,N30051001483210,bottle,0.71,"[1735, 1014, 1822, 1255]",
17894,N30051001483210,bottle,0.64,"[1957, 1011, 2043, 1271]",
17895,N30051001483210,bottle,0.63,"[1470, 858, 1552, 1156]",
17896,N30051001483210,bottle,0.61,"[1676, 1016, 1755, 1251]",
17897,N30051001483210,bottle,0.57,"[1545, 863, 1626, 1158]",
17898,N30051001483210,bottle,0.51,"[1304, 1187, 1397, 1320]",
17899,N30051001483210,bicycle,0.44,"[600, 995, 1605, 2073]",
17900,N30051001483210,bottle,0.42,"[1682, 874, 1761, 1063]",
17901,N30051001483210,bottle,0.4,"[1360, 864, 1442, 1042]",
17902,N30051001483210,bottle,0.4,"[1610, 870, 1686, 1159]",
17903,N30051001483210,bottle,0.39,"[2033, 1010, 2111, 1242]",
17904,N30051001483210,bottle,0.31,"[1680, 873, 1760, 1138]",
17905,N30051001483210,bottle,0.31,"[1611, 871, 1686, 1063]",
17906,N30051001483210,bottle,0.28,"[1274, 882, 1364, 1038]",
17907,N30051001483210,bottle,0.26,"[1491, 1186, 1567, 1330]",
17908,N30051001489316,person,0.77,"[2472, 585, 2873, 1033]",
17909,N30051001489316,boat,0.41,"[740, 775, 928, 965]",
17910,N30051001489316,boat,0.37,"[740, 879, 928, 967]",
17911,N30051001343687,truck,0.94,"[273, 702, 1529, 1924]",
17912,N30051001343687,bicycle,0.86,"[67, 1311, 310, 1535]",
17913,N30051001343687,person,0.86,"[2080, 1120, 2281, 1847]",
17914,N30051001343687,person,0.84,"[2644, 791, 2915, 2342]",
17915,N30051001343687,person,0.83,"[2302, 1088, 2536, 1907]",
17916,N30051001343687,person,0.8,"[1499, 1151, 1632, 1426]",
17917,N30051001343687,person,0.69,"[2506, 1070, 2633, 1985]",
17918,N30051001343687,tie,0.58,"[2768, 1065, 2856, 1254]",
17919,N30051001343687,person,0.32,"[1969, 1210, 2028, 1311]",
17920,N30051001343687,person,0.28,"[2030, 1220, 2085, 1295]",
17921,N30051001456703,person,0.94,"[214, 584, 1832, 2707]",
17922,N30051001456703,person,0.88,"[1293, 516, 2211, 2701]",
17923,N30051001456703,person,0.85,"[1842, 678, 3311, 2122]",
17924,N30051001456703,remote,0.78,"[1687, 1656, 1937, 1792]",
17925,N30051001456703,tie,0.31,"[2823, 1247, 3005, 1522]",
17926,N30051000466794,person,0.9,"[878, 767, 1434, 2103]",
17927,N30051000466794,person,0.88,"[1468, 883, 1881, 2298]",
17928,N30051000466794,handbag,0.33,"[881, 1247, 1234, 1760]",
17929,N30051001442901,car,0.74,"[1209, 267, 2917, 2068]",
17930,N30051001442901,person,0.5,"[66, 59, 657, 1137]",
17931,N30051001442901,person,0.39,"[59, 66, 687, 2260]",
17932,N30051001442901,person,0.28,"[375, 228, 1546, 2346]",
17933,N30051000398484,person,0.93,"[762, 524, 1716, 2192]",
17934,N30051000398484,person,0.92,"[2540, 1074, 2942, 2242]",
17935,N30051000398484,person,0.91,"[1803, 387, 2128, 1578]",
17936,N30051000398484,person,0.9,"[1315, 858, 1736, 2244]",
17937,N30051002285564,bicycle,0.93,"[1390, 2509, 1749, 2780]",
17938,N30051002285564,person,0.83,"[1895, 2333, 2061, 2684]",
17939,N30051002285564,person,0.8,"[592, 2348, 723, 2712]",
17940,N30051002285564,person,0.77,"[1179, 2175, 1294, 2459]",
17941,N30051002285564,bicycle,0.74,"[2216, 2509, 2309, 2674]",
17942,N30051002285564,person,0.73,"[371, 2089, 445, 2297]",
17943,N30051002285564,person,0.73,"[916, 2302, 1042, 2649]",
17944,N30051002285564,person,0.59,"[184, 2489, 323, 2641]",
17945,N30051002285564,person,0.46,"[1658, 2333, 1799, 2708]",
17946,N30051002285564,person,0.4,"[872, 2427, 1001, 2784]",
17947,N30051002690490,person,0.96,"[1, 211, 1526, 2205]",
17948,N30051002690490,person,0.93,"[1414, 337, 2724, 2197]",
17949,N30051002690490,tie,0.81,"[880, 855, 972, 1065]",
17950,N30051002690490,handbag,0.42,"[1534, 1573, 2097, 2223]",
17951,N30051000517000,person,0.92,"[286, 84, 2712, 3378]",
17952,N30051000517000,cup,0.86,"[120, 2782, 348, 3156]",
17953,N30051000517000,tie,0.77,"[537, 1089, 759, 1799]",
17954,N30051000517000,tie,0.28,"[630, 1088, 762, 1337]",
17955,N30051001442885,person,0.83,"[509, 1456, 625, 1850]",
17956,N30051001442885,person,0.51,"[953, 1599, 1060, 1752]",
17957,N30051001442885,person,0.33,"[1959, 1330, 2038, 1544]",
17958,N30051001442885,boat,0.29,"[1906, 837, 2911, 2097]",
17959,N30051000515921,person,0.94,"[181, 635, 1056, 1818]",
17960,N30051000515921,person,0.92,"[1934, 729, 2812, 2343]",
17961,N30051000515921,person,0.91,"[1513, 651, 1988, 1484]",
17962,N30051000515921,person,0.89,"[993, 813, 1541, 1565]",
17963,N30051000515921,person,0.85,"[2613, 695, 2921, 1177]",
17964,N30051000515921,person,0.85,"[1939, 775, 2364, 1441]",
17965,N30051000515921,person,0.82,"[2531, 547, 2921, 952]",
17966,N30051000515921,bottle,0.77,"[1745, 281, 1826, 505]",
17967,N30051000515921,person,0.65,"[2161, 631, 2389, 943]",
17968,N30051000515921,cake,0.59,"[1676, 1335, 1987, 1503]",
17969,N30051000515921,bottle,0.57,"[1579, 279, 1644, 498]",
17970,N30051000515921,dinning table,0.57,"[84, 1327, 2450, 2331]",
17971,N30051000515921,bottle,0.55,"[1390, 224, 1468, 495]",
17972,N30051000515921,cake,0.52,"[1444, 1518, 1752, 1691]",
17973,N30051000515921,bottle,0.51,"[1897, 297, 1949, 447]",
17974,N30051000515921,person,0.43,"[2226, 632, 2388, 788]",
17975,N30051000515921,bottle,0.43,"[1337, 240, 1395, 488]",
17976,N30051000515921,bottle,0.42,"[1485, 314, 1552, 497]",
17977,N30051000515921,tie,0.41,"[2100, 1060, 2138, 1154]",
17978,N30051000515921,bottle,0.4,"[1308, 236, 1393, 489]",
17979,N30051000515921,bottle,0.39,"[1403, 241, 1486, 494]",
17980,N30051000515921,bowl,0.38,"[563, 1333, 1001, 1725]",
17981,N30051000515921,bottle,0.37,"[1446, 254, 1497, 494]",
17982,N30051000515921,cake,0.3,"[1926, 1443, 2128, 1570]",
17983,N30051000515921,bottle,0.27,"[1293, 236, 1365, 488]",
17984,N30051001465043,person,0.92,"[1204, 1486, 1654, 2069]",
17985,N30051001465043,car,0.9,"[68, 1306, 639, 1633]",
17986,N30051001465043,traffic light,0.89,"[1038, 608, 1231, 1093]",
17987,N30051001465043,person,0.83,"[874, 1215, 991, 1491]",
17988,N30051001465043,person,0.8,"[1271, 1238, 1429, 1499]",
17989,N30051001465043,traffic light,0.79,"[562, 972, 662, 1181]",
17990,N30051001465043,person,0.78,"[2518, 1173, 2704, 1674]",
17991,N30051001465043,person,0.76,"[1867, 1199, 1995, 1581]",
17992,N30051001465043,person,0.71,"[2635, 1168, 2877, 1763]",
17993,N30051001465043,person,0.69,"[2305, 1159, 2405, 1420]",
17994,N30051001465043,person,0.63,"[2029, 1194, 2129, 1487]",
17995,N30051001465043,person,0.6,"[180, 1227, 275, 1318]",
17996,N30051001465043,suitcase,0.57,"[1813, 1421, 1907, 1521]",
17997,N30051001465043,person,0.56,"[1633, 1176, 1747, 1507]",
17998,N30051001465043,clock,0.5,"[2099, 429, 2268, 621]",
17999,N30051001465043,person,0.49,"[1964, 1196, 2053, 1498]",
18000,N30051001465043,person,0.48,"[1500, 1220, 1626, 1461]",
18001,N30051001465043,suitcase,0.46,"[1967, 1423, 2034, 1525]",
18002,N30051001465043,person,0.42,"[2397, 1161, 2520, 1409]",
18003,N30051001465043,handbag,0.38,"[1386, 1405, 1442, 1493]",
18004,N30051001465043,car,0.36,"[2771, 1160, 2908, 1303]",
18005,N30051001444550,person,0.94,"[95, 625, 674, 2328]",
18006,N30051001444550,person,0.8,"[2053, 639, 2313, 1194]",
18007,N30051001444550,person,0.78,"[2417, 530, 2827, 1204]",
18008,N30051001444550,person,0.63,"[1287, 795, 1448, 1182]",
18009,N30051001444550,person,0.61,"[1495, 712, 1682, 1199]",
18010,N30051001444550,person,0.57,"[1743, 668, 1979, 1187]",
18011,N30051001444550,tie,0.51,"[417, 996, 488, 1223]",
18012,N30051000409356,person,0.92,"[1137, 578, 1907, 2762]",
18013,N30051000409356,person,0.92,"[399, 293, 1219, 2619]",
18014,N30051000409356,handbag,0.57,"[252, 1514, 725, 2066]",
18015,N30051000704541,person,0.94,"[69, 290, 2359, 2902]",
18016,N30051000704541,book,0.63,"[1285, 1487, 2116, 1844]",
18017,N30051000704541,book,0.28,"[1441, 1651, 2239, 1943]",
18018,N30051002185434,person,0.91,"[851, 804, 1704, 2273]",
18019,N30051002185434,person,0.83,"[2644, 1194, 2888, 1768]",
18020,N30051002185434,cup,0.83,"[1151, 1740, 1307, 1876]",
18021,N30051002185434,chair,0.83,"[1611, 1460, 2166, 2287]",
18022,N30051002185434,umbrella,0.82,"[840, 540, 1987, 976]",
18023,N30051002185434,cup,0.8,"[753, 1774, 913, 1916]",
18024,N30051002185434,person,0.77,"[12, 860, 905, 2281]",
18025,N30051002185434,cup,0.77,"[1097, 1700, 1210, 1814]",
18026,N30051002185434,chair,0.76,"[1745, 1367, 2195, 1799]",
18027,N30051002185434,bottle,0.74,"[768, 1576, 884, 1781]",
18028,N30051002185434,cup,0.7,"[588, 1629, 728, 1867]",
18029,N30051002185434,chair,0.48,"[2258, 1379, 2409, 1643]",
18030,N30051002185434,chair,0.39,"[1692, 1305, 1812, 1472]",
18031,N30051002185434,chair,0.35,"[2362, 1428, 2590, 1662]",
18032,N30051002185434,dinning table,0.35,"[2552, 1414, 2730, 1640]",
18033,N30051002185434,chair,0.33,"[2259, 1372, 2594, 1659]",
18034,N30051002185434,cup,0.31,"[929, 1681, 1050, 1902]",
18035,N30051002185434,bottle,0.3,"[665, 1571, 785, 1864]",
18036,N30051002185434,dinning table,0.29,"[463, 1842, 1361, 2288]",
18037,N30051002185434,dinning table,0.27,"[438, 1616, 1364, 2283]",
18038,N30051002202197,potted plant,0.71,"[1366, 1269, 1684, 1538]",
18039,N30051002202197,potted plant,0.67,"[842, 1259, 1170, 1537]",
18040,N30051002202197,potted plant,0.64,"[2106, 1251, 2422, 1524]",
18041,N30051002202197,person,0.57,"[821, 1956, 1197, 2307]",
18042,N30051002202197,person,0.55,"[1261, 2094, 1489, 2310]",
18043,N30051002202197,person,0.53,"[2356, 1123, 2590, 1533]",
18044,N30051002202197,person,0.53,"[2089, 1118, 2278, 1272]",
18045,N30051002202197,potted plant,0.5,"[386, 1288, 687, 1519]",
18046,N30051002202197,person,0.5,"[1435, 1119, 1630, 1272]",
18047,N30051002202197,person,0.46,"[1614, 1142, 1775, 1269]",
18048,N30051002202197,person,0.45,"[1586, 1908, 1881, 2279]",
18049,N30051002202197,person,0.43,"[2270, 1121, 2451, 1277]",
18050,N30051002202197,person,0.4,"[2026, 2057, 2457, 2324]",
18051,N30051002202197,chair,0.4,"[148, 2093, 364, 2212]",
18052,N30051002202197,person,0.38,"[2689, 2044, 2937, 2323]",
18053,N30051002202197,person,0.37,"[237, 1832, 474, 2211]",
18054,N30051002202197,person,0.35,"[1204, 1155, 1358, 1274]",
18055,N30051002202197,person,0.34,"[1617, 2130, 1832, 2311]",
18056,N30051002202197,person,0.32,"[2704, 1083, 2861, 1535]",
18057,N30051002202197,person,0.29,"[100, 1836, 246, 2104]",
18058,N30051002202197,person,0.26,"[614, 2064, 879, 2303]",
18059,N30051001449070,person,0.91,"[765, 737, 1689, 2857]",
18060,N30051001449070,person,0.88,"[1413, 766, 2002, 2835]",
18061,N30051001449070,suitcase,0.87,"[1665, 1908, 2186, 2420]",
18062,N30051001449070,person,0.86,"[422, 300, 986, 1682]",
18063,N30051001449070,suitcase,0.86,"[696, 1829, 1124, 2416]",
18064,N30051001449070,person,0.68,"[1265, 554, 1572, 1135]",
18065,N30051001449070,tie,0.39,"[1335, 844, 1371, 1001]",
18066,N30051001449070,tie,0.36,"[1110, 1071, 1256, 1125]",
18067,N30051001449070,tie,0.29,"[867, 608, 944, 926]",
18068,N30051001482873,person,0.87,"[493, 1180, 822, 1923]",
18069,N30051001482873,person,0.87,"[1634, 1192, 1931, 1909]",
18070,N30051001482873,person,0.83,"[1061, 1163, 1353, 1912]",
18071,N30051001482873,person,0.83,"[1341, 1192, 1645, 1912]",
18072,N30051001482873,person,0.82,"[534, 959, 796, 1371]",
18073,N30051001482873,person,0.82,"[794, 1167, 1072, 1908]",
18074,N30051001482873,person,0.74,"[784, 991, 1048, 1398]",
18075,N30051001482873,person,0.67,"[1614, 926, 1797, 1354]",
18076,N30051001482873,person,0.6,"[1243, 973, 1446, 1451]",
18077,N30051001482873,person,0.53,"[1492, 1031, 1714, 1480]",
18078,N30051001482873,kite,0.4,"[2235, 900, 2297, 956]",
18079,N30051001482873,person,0.32,"[1056, 1044, 1266, 1411]",
18080,N30051000704673,person,0.85,"[1250, 448, 2000, 1866]",
18081,N30051000704673,person,0.81,"[1190, 1406, 1611, 2267]",
18082,N30051000704673,chair,0.81,"[292, 1677, 1273, 2880]",
18083,N30051000704673,person,0.8,"[689, 1536, 1065, 1966]",
18084,N30051000704673,bed,0.45,"[497, 1531, 1295, 1979]",
18085,N30051000704673,bowl,0.29,"[1088, 1027, 1179, 1103]",
18086,N30051000704673,bed,0.28,"[499, 1240, 1289, 1981]",
18087,N30051001456687,person,0.91,"[469, 357, 1001, 2316]",
18088,N30051001456687,person,0.9,"[973, 255, 1537, 2306]",
18089,N30051001456687,person,0.9,"[74, 250, 529, 2337]",
18090,N30051001456687,person,0.85,"[2197, 626, 2499, 1915]",
18091,N30051001456687,person,0.84,"[2510, 413, 2866, 793]",
18092,N30051001456687,person,0.81,"[1982, 536, 2327, 1990]",
18093,N30051001456687,tie,0.79,"[2659, 603, 2701, 716]",
18094,N30051001456687,person,0.77,"[1441, 518, 1956, 2192]",
18095,N30051001456687,person,0.73,"[1736, 522, 2153, 1803]",
18096,N30051001456687,bottle,0.67,"[1634, 484, 1888, 668]",
18097,N30051001456687,cell phone,0.66,"[874, 502, 1007, 567]",
18098,N30051001456687,handbag,0.33,"[934, 960, 1048, 1191]",
18099,N30051001448932,person,0.91,"[874, 721, 2038, 2377]",
18100,N30051001343778,person,0.96,"[725, 384, 2742, 2612]",
18101,N30051001343778,person,0.95,"[2, 183, 1049, 2609]",
18102,N30051001343778,tie,0.39,"[606, 1048, 702, 1293]",
18103,N30051001343778,tie,0.36,"[1399, 1163, 1801, 1986]",
18104,N30051001343778,oven,0.34,"[2351, 821, 3445, 2606]",
18105,N30051001343778,tv,0.31,"[2387, 822, 3446, 2599]",
18106,N30051000443793,person,0.91,"[1455, 229, 2192, 2734]",
18107,N30051000443793,person,0.91,"[710, 201, 1498, 2881]",
18108,N30051000443793,person,0.91,"[96, 274, 937, 2758]",
18109,N30051000443793,person,0.69,"[1464, 811, 2335, 2916]",
18110,N30051000443793,handbag,0.68,"[104, 1157, 293, 1716]",
18111,N30051000443793,cell phone,0.68,"[1931, 1954, 2173, 2474]",
18112,N30051000443793,car,0.58,"[2264, 68, 2347, 280]",
18113,N30051000443793,tie,0.53,"[878, 685, 1037, 744]",
18114,N30051000443793,tie,0.41,"[876, 685, 1037, 783]",
18115,N30051001469979,train,0.91,"[709, 948, 2262, 1853]",
18116,N30051001469979,person,0.84,"[934, 1409, 1099, 1805]",
18117,N30051001469979,bicycle,0.81,"[2580, 1621, 2889, 1848]",
18118,N30051001469979,person,0.8,"[2396, 1425, 2507, 1720]",
18119,N30051001469979,person,0.76,"[2277, 1455, 2372, 1693]",
18120,N30051001469979,person,0.74,"[752, 1446, 969, 1808]",
18121,N30051001469979,person,0.74,"[2712, 1409, 2885, 1812]",
18122,N30051001469979,person,0.74,"[2594, 1429, 2750, 1764]",
18123,N30051001469979,person,0.62,"[627, 1464, 804, 1799]",
18124,N30051001469979,person,0.59,"[522, 1434, 714, 1786]",
18125,N30051001469979,person,0.56,"[556, 1462, 798, 1798]",
18126,N30051001469979,person,0.52,"[372, 1443, 454, 1663]",
18127,N30051001469979,person,0.51,"[428, 1442, 640, 1780]",
18128,N30051001469979,person,0.48,"[651, 1461, 863, 1799]",
18129,N30051001469979,person,0.44,"[445, 1437, 502, 1628]",
18130,N30051001469979,person,0.34,"[238, 1428, 320, 1689]",
18131,N30051001469979,person,0.28,"[2484, 1411, 2553, 1643]",
18132,N30051001469979,person,0.26,"[2682, 1402, 2762, 1520]",
18133,N30051001489555,person,0.67,"[1162, 739, 1238, 812]",
18134,N30051001489555,person,0.51,"[1096, 833, 1184, 965]",
18135,N30051001489555,person,0.4,"[1147, 795, 1217, 883]",
18136,N30051001489555,person,0.36,"[1092, 923, 1165, 1037]",
18137,N30051001489555,person,0.36,"[1049, 960, 1145, 1077]",
18138,N30051001489555,person,0.34,"[989, 1071, 1095, 1245]",
18139,N30051001489555,boat,0.34,"[739, 302, 1173, 483]",
18140,N30051001489555,person,0.27,"[1041, 961, 1145, 1122]",
18141,N30051001473344,bicycle,0.79,"[187, 1528, 755, 2000]",
18142,N30051001473344,person,0.78,"[2050, 1604, 2287, 2242]",
18143,N30051001473344,person,0.75,"[334, 1248, 660, 1851]",
18144,N30051001473344,person,0.75,"[1703, 1877, 1963, 2242]",
18145,N30051001473344,bicycle,0.73,"[879, 1327, 1177, 1672]",
18146,N30051001473344,bicycle,0.72,"[1456, 1472, 1695, 1818]",
18147,N30051001473344,person,0.65,"[2648, 1609, 2865, 2245]",
18148,N30051001473344,person,0.65,"[1454, 1205, 1701, 1689]",
18149,N30051001473344,person,0.62,"[2221, 1241, 2391, 1921]",
18150,N30051001473344,person,0.58,"[940, 1073, 1153, 1546]",
18151,N30051001473344,person,0.55,"[1815, 1196, 2024, 1665]",
18152,N30051001473344,person,0.54,"[1354, 1092, 1539, 1402]",
18153,N30051001473344,bicycle,0.53,"[2593, 1333, 2862, 1676]",
18154,N30051001473344,person,0.49,"[242, 1174, 390, 1514]",
18155,N30051001473344,person,0.47,"[1765, 1075, 1943, 1247]",
18156,N30051001473344,person,0.46,"[699, 1050, 817, 1544]",
18157,N30051001473344,person,0.44,"[2022, 1370, 2276, 2127]",
18158,N30051001473344,bicycle,0.4,"[1831, 1526, 2000, 1805]",
18159,N30051001473344,person,0.34,"[2441, 1039, 2562, 1566]",
18160,N30051001473344,person,0.32,"[2162, 1261, 2264, 1513]",
18161,N30051001473344,bicycle,0.3,"[1340, 1410, 1427, 1616]",
18162,N30051001473344,person,0.29,"[2708, 1171, 2864, 1642]",
18163,N30051001473344,person,0.29,"[2043, 1002, 2182, 1142]",
18164,N30051001473344,person,0.28,"[796, 1060, 967, 1540]",
18165,N30051002102736,chair,0.92,"[1496, 915, 2312, 1866]",
18166,N30051002102736,potted plant,0.9,"[1700, 314, 2079, 578]",
18167,N30051002102736,person,0.89,"[1278, 349, 2079, 1495]",
18168,N30051002102736,book,0.89,"[995, 1029, 1565, 1480]",
18169,N30051002102736,potted plant,0.8,"[2, 826, 1012, 1532]",
18170,N30051002102736,book,0.65,"[555, 1363, 1347, 1566]",
18171,N30051002102736,book,0.46,"[2606, 1062, 2810, 1340]",
18172,N30051002102736,book,0.44,"[788, 1490, 1259, 1618]",
18173,N30051002102736,book,0.41,"[2235, 1354, 2349, 1585]",
18174,N30051002102736,book,0.35,"[2195, 728, 2242, 910]",
18175,N30051002102736,book,0.32,"[2296, 1063, 2333, 1282]",
18176,N30051002102736,vase,0.32,"[273, 1280, 488, 1595]",
18177,N30051002102736,bowl,0.26,"[2240, 454, 2374, 548]",
18178,N30051001509097,person,0.93,"[1463, 755, 2226, 2715]",
18179,N30051001509097,person,0.9,"[627, 1075, 1136, 2645]",
18180,N30051001509097,person,0.8,"[1567, 994, 1846, 1481]",
18181,N30051001509097,person,0.79,"[943, 892, 1266, 2448]",
18182,N30051001509097,baseball bat,0.76,"[1000, 589, 2139, 886]",
18183,N30051001509097,person,0.71,"[561, 1104, 683, 1496]",
18184,N30051001509097,person,0.7,"[1215, 995, 1667, 2184]",
18185,N30051001509097,person,0.51,"[742, 1045, 911, 1296]",
18186,N30051001509097,suitcase,0.35,"[1209, 1506, 1667, 2189]",
18187,N30051001509097,tie,0.27,"[1699, 1197, 1765, 1273]",
18188,N30051001452504,chair,0.89,"[63, 906, 313, 1728]",
18189,N30051001452504,cake,0.88,"[1021, 1524, 2222, 2046]",
18190,N30051001452504,dinning table,0.83,"[65, 1520, 2916, 2385]",
18191,N30051001452504,person,0.82,"[1098, 187, 1963, 1585]",
18192,N30051001452504,chair,0.81,"[859, 1073, 1169, 1584]",
18193,N30051001452504,chair,0.32,"[933, 892, 2225, 1555]",
18194,N30051001452504,chair,0.27,"[1929, 894, 2108, 1321]",
18195,N30051000483971,person,0.81,"[359, 2211, 675, 2918]",
18196,N30051000483971,person,0.79,"[730, 1994, 1001, 2748]",
18197,N30051000483971,person,0.72,"[972, 1739, 1224, 2454]",
18198,N30051000483971,bicycle,0.68,"[1676, 1845, 1857, 2201]",
18199,N30051000483971,person,0.63,"[1778, 1670, 1955, 2178]",
18200,N30051000483971,person,0.52,"[772, 1673, 989, 2106]",
18201,N30051000483971,person,0.52,"[565, 1697, 762, 2273]",
18202,N30051000483971,person,0.48,"[108, 2356, 320, 2920]",
18203,N30051000483971,person,0.45,"[1804, 1241, 1989, 1746]",
18204,N30051000483971,tie,0.43,"[455, 2388, 487, 2476]",
18205,N30051000483971,person,0.4,"[2125, 1367, 2270, 1887]",
18206,N30051000483971,person,0.36,"[286, 1907, 543, 2378]",
18207,N30051000483971,person,0.31,"[939, 1445, 1154, 1919]",
18208,N30051000483971,person,0.3,"[488, 1498, 672, 1878]",
18209,N30051000483971,person,0.3,"[667, 1291, 829, 1758]",
18210,N30051000483971,person,0.29,"[1135, 1448, 1298, 1893]",
18211,N30051000483971,kite,0.28,"[1215, 1801, 1619, 2265]",
18212,N30051000483971,person,0.28,"[221, 1675, 441, 2094]",
18213,N30051000483971,person,0.28,"[1320, 1283, 1481, 1751]",
18214,N30051001344099,bicycle,0.93,"[1193, 1209, 1796, 1834]",
18215,N30051001344099,car,0.92,"[2285, 883, 2854, 1463]",
18216,N30051001344099,person,0.91,"[1745, 670, 2363, 1932]",
18217,N30051001344099,bicycle,0.9,"[799, 1176, 1218, 1797]",
18218,N30051001344099,bicycle,0.82,"[463, 1163, 864, 1790]",
18219,N30051001344099,person,0.81,"[946, 734, 1333, 1641]",
18220,N30051001344099,person,0.8,"[1336, 730, 1711, 1605]",
18221,N30051001344099,person,0.74,"[1747, 763, 1987, 1540]",
18222,N30051001344099,handbag,0.73,"[1050, 1240, 1254, 1437]",
18223,N30051001344099,bicycle,0.72,"[1693, 1116, 1942, 1591]",
18224,N30051001344099,person,0.7,"[665, 755, 1018, 1616]",
18225,N30051001344099,person,0.69,"[284, 771, 686, 1514]",
18226,N30051001344099,person,0.62,"[1167, 780, 1312, 1053]",
18227,N30051001344099,person,0.58,"[1284, 785, 1446, 1188]",
18228,N30051001344099,person,0.57,"[666, 845, 797, 1124]",
18229,N30051001344099,person,0.56,"[2319, 817, 2420, 934]",
18230,N30051001344099,tie,0.46,"[483, 919, 511, 983]",
18231,N30051001344099,bicycle,0.43,"[107, 1163, 500, 1786]",
18232,N30051001344099,person,0.43,"[1780, 764, 1968, 940]",
18233,N30051001344099,car,0.42,"[2788, 892, 2907, 1209]",
18234,N30051001344099,person,0.39,"[1636, 787, 1798, 1330]",
18235,N30051001344099,bicycle,0.36,"[108, 1163, 738, 1788]",
18236,N30051001344099,person,0.28,"[1634, 787, 1790, 940]",
18237,N30051001470241,person,0.9,"[1854, 1795, 2338, 2899]",
18238,N30051001470241,tie,0.87,"[1220, 1083, 1336, 1405]",
18239,N30051001470241,person,0.77,"[616, 429, 1885, 2669]",
18240,N30051001470241,book,0.52,"[334, 1971, 1031, 2237]",
18241,N30051001448700,horse,0.83,"[2247, 1564, 2482, 1747]",
18242,N30051001448700,car,0.76,"[896, 1207, 1026, 1300]",
18243,N30051001448700,car,0.75,"[1637, 1219, 1751, 1326]",
18244,N30051001448700,car,0.74,"[1748, 1230, 1845, 1332]",
18245,N30051001448700,bicycle,0.73,"[2305, 2069, 2515, 2229]",
18246,N30051001448700,bicycle,0.73,"[2019, 2002, 2194, 2131]",
18247,N30051001448700,car,0.7,"[1029, 1210, 1196, 1313]",
18248,N30051001448700,person,0.69,"[2197, 2180, 2265, 2406]",
18249,N30051001448700,car,0.69,"[2259, 1243, 2363, 1351]",
18250,N30051001448700,car,0.67,"[1913, 1259, 2010, 1337]",
18251,N30051001448700,car,0.63,"[789, 1208, 886, 1290]",
18252,N30051001448700,car,0.62,"[2034, 1233, 2128, 1335]",
18253,N30051001448700,bicycle,0.6,"[64, 2160, 209, 2311]",
18254,N30051001448700,bicycle,0.59,"[1325, 1872, 1436, 1996]",
18255,N30051001448700,car,0.59,"[1174, 1208, 1337, 1313]",
18256,N30051001448700,car,0.58,"[1330, 1215, 1469, 1314]",
18257,N30051001448700,car,0.55,"[2150, 1240, 2247, 1342]",
18258,N30051001448700,horse,0.52,"[2073, 1547, 2146, 1722]",
18259,N30051001448700,bicycle,0.51,"[1528, 1803, 1653, 1909]",
18260,N30051001448700,person,0.5,"[1817, 2233, 1893, 2409]",
18261,N30051001448700,person,0.44,"[989, 2162, 1053, 2366]",
18262,N30051001448700,person,0.44,"[638, 2028, 701, 2234]",
18263,N30051001448700,car,0.39,"[2429, 1710, 2825, 1914]",
18264,N30051001448700,person,0.39,"[1883, 2114, 1985, 2333]",
18265,N30051001448700,person,0.39,"[1354, 1959, 1415, 2113]",
18266,N30051001448700,person,0.39,"[2066, 1923, 2164, 2089]",
18267,N30051001448700,person,0.39,"[2687, 2005, 2758, 2221]",
18268,N30051001448700,person,0.37,"[2192, 1860, 2292, 2064]",
18269,N30051001448700,car,0.37,"[595, 1549, 761, 1728]",
18270,N30051001448700,person,0.36,"[2613, 2008, 2707, 2224]",
18271,N30051001448700,bicycle,0.35,"[377, 2033, 445, 2174]",
18272,N30051001448700,car,0.35,"[2370, 1246, 2444, 1357]",
18273,N30051001448700,person,0.34,"[666, 1831, 739, 2033]",
18274,N30051001448700,car,0.34,"[356, 1123, 513, 1192]",
18275,N30051001448700,bus,0.33,"[1497, 1159, 1624, 1317]",
18276,N30051001448700,person,0.33,"[584, 1754, 644, 1924]",
18277,N30051001448700,person,0.3,"[1304, 2094, 1364, 2303]",
18278,N30051001448700,truck,0.29,"[1498, 1157, 1625, 1317]",
18279,N30051001448700,person,0.28,"[384, 1807, 443, 1980]",
18280,N30051001448700,person,0.28,"[1343, 2206, 1410, 2408]",
18281,N30051001448700,person,0.28,"[2380, 1889, 2489, 2198]",
18282,N30051001448700,person,0.28,"[1198, 1958, 1269, 2149]",
18283,N30051001448700,car,0.27,"[532, 1130, 720, 1197]",
18284,N30051001448700,person,0.26,"[1658, 1687, 1721, 1825]",
18285,N30051001448700,person,0.25,"[1024, 1977, 1086, 2200]",
18286,N30051001448700,person,0.25,"[2164, 1777, 2226, 1957]",
18287,N30051001432092,person,0.91,"[1345, 904, 1687, 2002]",
18288,N30051001432092,person,0.89,"[1046, 967, 1376, 2025]",
18289,N30051001432092,chair,0.88,"[566, 1963, 1051, 2405]",
18290,N30051001432092,person,0.87,"[1911, 985, 2260, 2042]",
18291,N30051001432092,chair,0.86,"[2141, 1927, 2598, 2404]",
18292,N30051001432092,person,0.86,"[1664, 967, 1959, 1978]",
18293,N30051001432092,tie,0.83,"[1489, 1078, 1535, 1243]",
18294,N30051001432092,person,0.78,"[764, 1027, 1123, 2222]",
18295,N30051001432092,chair,0.72,"[2044, 1711, 2426, 2384]",
